id,ibu_category_nbr,srm_category_nbr,abv_category_nbr,attenuation_category_nbr,outcome
237,3,3,1,2,IBU High Pale Gold ABV Low Atten Medium
238,3,5,1,2,IBU High Pale Amber ABV Low Atten Medium
239,3,5,2,3,IBU High Pale Amber ABV Medium Atten High
240,1,12,1,2,IBU Low Amber Brown ABV Low Atten Medium
241,3,12,1,3,IBU High Amber Brown ABV Low Atten High
242,3,12,1,3,IBU High Amber Brown ABV Low Atten High
243,1,3,1,2,IBU Low Pale Gold ABV Low Atten Medium
244,3,11,2,3,IBU High Black ABV Medium Atten High
245,3,10,1,3,IBU High Deep Brown ABV Low Atten High
246,3,7,1,2,IBU High Deep Amber ABV Low Atten Medium
247,3,11,1,3,IBU High Black ABV Low Atten High
248,3,6,1,2,IBU High Medium Amber ABV Low Atten Medium
249,3,5,1,3,IBU High Pale Amber ABV Low Atten High
250,3,12,1,3,IBU High Amber Brown ABV Low Atten High
251,2,5,1,2,IBU Medium Pale Amber ABV Low Atten Medium
252,2,5,1,2,IBU Medium Pale Amber ABV Low Atten Medium
253,2,9,1,2,IBU Medium Ruby Brown ABV Low Atten Medium
254,2,6,1,2,IBU Medium Medium Amber ABV Low Atten Medium
255,3,7,2,3,IBU High Deep Amber ABV Medium Atten High
256,2,5,1,2,IBU Medium Pale Amber ABV Low Atten Medium
257,3,11,1,2,IBU High Black ABV Low Atten Medium
258,3,11,2,3,IBU High Black ABV Medium Atten High
259,2,11,1,2,IBU Medium Black ABV Low Atten Medium
260,3,6,1,2,IBU High Medium Amber ABV Low Atten Medium
261,3,11,1,2,IBU High Black ABV Low Atten Medium
262,2,5,1,2,IBU Medium Pale Amber ABV Low Atten Medium
263,3,3,1,3,IBU High Pale Gold ABV Low Atten High
264,2,5,1,2,IBU Medium Pale Amber ABV Low Atten Medium
265,3,4,1,2,IBU High Deep Gold ABV Low Atten Medium
266,1,3,1,2,IBU Low Pale Gold ABV Low Atten Medium
267,3,11,2,3,IBU High Black ABV Medium Atten High
268,2,5,1,3,IBU Medium Pale Amber ABV Low Atten High
269,2,6,1,3,IBU Medium Medium Amber ABV Low Atten High
270,3,5,1,2,IBU High Pale Amber ABV Low Atten Medium
271,1,4,1,2,IBU Low Deep Gold ABV Low Atten Medium
272,1,3,1,3,IBU Low Pale Gold ABV Low Atten High
273,3,5,1,3,IBU High Pale Amber ABV Low Atten High
274,3,11,1,2,IBU High Black ABV Low Atten Medium
275,1,3,1,3,IBU Low Pale Gold ABV Low Atten High
276,2,6,1,3,IBU Medium Medium Amber ABV Low Atten High
277,1,4,1,2,IBU Low Deep Gold ABV Low Atten Medium
278,3,11,2,3,IBU High Black ABV Medium Atten High
279,3,10,1,2,IBU High Deep Brown ABV Low Atten Medium
280,2,4,1,3,IBU Medium Deep Gold ABV Low Atten High
281,3,9,2,2,IBU High Ruby Brown ABV Medium Atten Medium
282,1,5,1,3,IBU Low Pale Amber ABV Low Atten High
283,3,11,2,3,IBU High Black ABV Medium Atten High
284,3,5,1,3,IBU High Pale Amber ABV Low Atten High
285,3,5,1,3,IBU High Pale Amber ABV Low Atten High
286,3,5,1,3,IBU High Pale Amber ABV Low Atten High
287,3,5,1,3,IBU High Pale Amber ABV Low Atten High
288,3,5,1,3,IBU High Pale Amber ABV Low Atten High
289,3,5,1,3,IBU High Pale Amber ABV Low Atten High
290,3,5,1,3,IBU High Pale Amber ABV Low Atten High
291,3,5,1,3,IBU High Pale Amber ABV Low Atten High
292,3,5,1,3,IBU High Pale Amber ABV Low Atten High
293,3,11,2,2,IBU High Black ABV Medium Atten Medium
294,1,6,1,3,IBU Low Medium Amber ABV Low Atten High
295,2,11,2,2,IBU Medium Black ABV Medium Atten Medium
296,3,6,1,3,IBU High Medium Amber ABV Low Atten High
297,1,6,1,2,IBU Low Medium Amber ABV Low Atten Medium
298,3,11,2,3,IBU High Black ABV Medium Atten High
299,1,3,1,1,IBU Low Pale Gold ABV Low Atten Low
300,2,5,1,3,IBU Medium Pale Amber ABV Low Atten High
301,2,2,1,3,IBU Medium Straw ABV Low Atten High
302,2,5,1,3,IBU Medium Pale Amber ABV Low Atten High
303,2,5,1,3,IBU Medium Pale Amber ABV Low Atten High
304,3,8,1,3,IBU High Brown ABV Low Atten High
305,3,6,1,3,IBU High Medium Amber ABV Low Atten High
306,2,11,2,3,IBU Medium Black ABV Medium Atten High
307,2,11,1,3,IBU Medium Black ABV Low Atten High
308,2,11,2,2,IBU Medium Black ABV Medium Atten Medium
309,3,11,2,3,IBU High Black ABV Medium Atten High
310,2,6,1,2,IBU Medium Medium Amber ABV Low Atten Medium
311,3,4,1,3,IBU High Deep Gold ABV Low Atten High
312,3,11,3,3,IBU High Black ABV High Atten High
313,3,11,2,2,IBU High Black ABV Medium Atten Medium
314,1,4,1,3,IBU Low Deep Gold ABV Low Atten High
315,3,11,1,2,IBU High Black ABV Low Atten Medium
316,2,7,1,2,IBU Medium Deep Amber ABV Low Atten Medium
317,3,8,2,2,IBU High Brown ABV Medium Atten Medium
318,3,4,1,3,IBU High Deep Gold ABV Low Atten High
319,2,10,1,3,IBU Medium Deep Brown ABV Low Atten High
320,1,6,1,3,IBU Low Medium Amber ABV Low Atten High
321,2,5,1,2,IBU Medium Pale Amber ABV Low Atten Medium
322,3,6,1,3,IBU High Medium Amber ABV Low Atten High
323,2,5,1,3,IBU Medium Pale Amber ABV Low Atten High
324,2,4,1,3,IBU Medium Deep Gold ABV Low Atten High
325,2,2,1,3,IBU Medium Straw ABV Low Atten High
